ID,0.영어(English),1.한국어,2.중국어(간체)(简体中文),3.중국어(번체)(繁體中文),4.일본어(日本語),5.스페인어(Español),6.독일어(Deutsch),7.포루투칼어(Português),8.러시아어(русский язык),9.이탈리아어(Italiano),10.폴란드어(język polski),11.터키어(Türkçe),12.프랑스어(Français)
0001,MENU,메뉴,菜单,菜單,メニュー,MENÚ,MENÜ,MENU,МЕНЮ,MENU,MENU,MENÜ,MENU
0002,SINGLE,혼자하기,单人游戏,單獨,ひとりで,SOLO,EINZELN,ÚNICO,ОДИН,SINGOLA,JEDEN,TEKLI,UN
0003,MULTI,랜덤대전,随机匹配,隨機匹配,オンライン,MULTI,MULTI,VÁRIOS,МУЛЬТИ,MULTI,WIELU,ÇOKLU,MULTI
0004,FRIEND,친구대전,好友对决,好友對決,フレンド,AMIGO,FREUND,AMIGO,ДРУГ,AMICO,ZNAJOMY,ARKADAŞLA,AMI
0005,SELECT LEVEL,난이도 선택,选择难度,選擇難度,つよさ選択,SELECCIONAR NIVEL,LEVEL AUSWÄHLEN,SELECIONAR NÍVEL,ВЫБЕРИТЕ УРОВЕНЬ,SELEZIONA LIVELLO,WYBIERZ POZIOM,DÜZEYLERI SEÇ,SÉLECTIONNER NIVEAU
0006,PASSWORD,비밀방 생성,创建密码房中,創建密碼房中,パスワード,CONTRASEÑA,PASSWORT,PALAVRA-PASSE,ПАРОЛЬ,PASSWORD,HASŁO,PAROLA,MOT DE PASSE
0007,Enter the Password,방 비밀번호를 입력하세요.,请输入密码,請輸入密碼,パスワード入力,Ingrese su contraseña,Passwort eingeben,Introduzir a palavra-passe,Введите Пароль,Inserire Password,Wprowadź Hasło,parolayı gir,Entrer le mot de passe
0008,MATCHING...,매칭 대기 중...,匹配中…,匹配中…,マッチング...,EMPAREJANDO,MATCHING...,A CORRESPONDER…,СОВПАДЕНИЕ ...,ACCOPPIAMENTO…,DOPASOWYWANIE…,EŞLEŞME BEKLENIYOR,MISE EN RELATION…
0009,CONNECTING...,연결중입니다...,连接中…,連接中…,接続中...,CONECTANDO,VERBINDEN...,A LIGAR…,ПОДКЛЮЧЕНИЕ …,CONNESSIONE…,ŁĄCZENIE…,BAĞLANIYOR…,CONNECTION…
0010,QUICK START,빠른 게임 매칭,快速游戏,快速遊戲,クイックスタート,PARTIDA RÁPIDA,SCHNELLSTART,INÍCIO RÁPIDO,БЫСТРЫЙ СТАРТ,PARTITA VELOCE,SZYBKI START,HIZLI BAŞLANGIÇ,DÉMARRAGE RAPIDE
0011,LEADER BOARD,순위표,名次表,名次表,ランキング,Tabla de posiciones,LEADER BOARD,TABELA CLASSIFICATIVA,ДОСКА ЛИДЕРОВ,CLASSIFICA,TABLICA WYNIKÓW,sıralama,Classement
0012,Top Best Score,상위 베스트 스코어,最高分,最高分,ベストスコア,Mejores puntajes,Top Beste Punktzahl,Melhor pontuação,Лучший результат,Miglior Punteggio,Topowy Rekord,en yüksek skor,Top meilleurs scores
0013,My Best Score,나의 베스트 스코어,我的最高分,我的最高分,自分のスコア,Mi mejor puntuación,Meine Beste Punktzahl,A minha melhor pontuação,Мой Лучший Результат,Il mio Miglior Punteggio,Mój Rekord,benim skorum,Mes meilleurs scores
0014,ACHIEVEMENT,도전과제,挑战任务,挑戰任務,実績,Logros,ERFOLG,CONQUISTA,ДОСТИЖЕНИЕ,RAGGIUNGIMENTI,OSIĄGNIĘCIE,başarı,Accomplissement
0015,SETTING,제어판,设定,設定,設定,Configuraciones,EINSTELLUNG,DEFINIÇÃO,НАСТРОЙКИ,IMPOSTAZIONI,USTAWIENIA,ayarlar,Paramètre
0016,[ SOUND ],[ 소리 ],[ 声音 ],[ 聲音 ],[ サウンド ],[ SONIDO ],[ TON ],[ SOM ],[ ЗВУК ],[ SUONO ],[ DŹWIĘK ],[ SES ],[ SON ]
0017,[ HAPTIC ],[ 진동 ],[ 震动 ],[ 震動 ],[ 振動 ],[ TÁCTIL ],[ HAPTISCH ],[ TÁTIL ],[ ТАКТИЛЬНЫЕ ],[ TATTILE ],[ DOTYKOWE ],[ TITREŞIM ],[ HAPTIQUE ]
0018,[ HAND ],[ 주로 쓰는 손 ],[ 主使用手 ],[ 主使用手 ],[ 使用する手 ],[ MANO A USAR ],[ HAND ],[ MÃO ],[ РУКА ],[ MANO ],[ RĘKA ],[ GENELDE KULLANILAN EL ],[ MAIN ]
0019,LEFTY,왼손잡이,左撇子,左撇子,左利き,Mano izq,LINKS,ESQUERDINO,ЛЕВША,SINISTRA,LEWA,solak,Gauche
0020,RIGHTY,오른손잡이,右撇子,右撇子,右利き,Mano der,RECHTS,DESTRO,ПРАВША,DESTRA,PRAWA,sağlak,Droite
0021,[ VOICE CHAT ],[ 보이스 챗 ],[ 语音聊天 ],[ 語音聊天 ],[ ボイスチャット ],[ CHAT POR VOZ ],[ VOICE CHAT ],[ CHAT POR VOZ ],[ ГОЛОСОВОЙ ЧАТ ],[ CHAT VOCALE ],[ CZAT GŁOSOWY ],[ SESLI MESAJ ],[ CHAT VOCAL ]
0022,[ LANGUAGE ],[ 언어 ],[ 语言 ],[ 語言 ],[ 言語 ],[ IDIOMA ],[ SPRACHE ],[ IDIOMA ],[ ЯЗЫК ],[ LINGUA ],[ JĘZYK ],[ DIL ],[ LANGUE ]
0023,COSTUME,의상,服装,服裝,コスチューム,Atuendos,KOSTÜM,ROUPA,КОСТЮМ,VESTITO,KOSTIUM,kostüm,Costume
0024,ACCESSORY,악세서리,配饰,飾品,アクセサリー,Accesorios,ZUBEHÖR,ACESSÓRIO,АКСЕССУАР,ACCESSORI,AKCESORIUM,aksesuar,Accesoire
0025,FACE,얼굴,面部,臉部,フェース,Rostro,GESICHT,ROSTO,ЛИЦО,FACCIA,TWARZ,yüz,Visage
0026,HAIR,머리,发型,頭髮,ヘア,Cabello,HAAR,CABELO,ВОЛОСЫ,CAPELLI,WŁOSY,saç,Cheveux
0027,RESULT,결과,结果,結果,結果,Resultados,ERGEBNIS,RESULTADO,РЕЗУЛЬТАТ,RISULTATO,WYNIK,sonuç,Résultat
0028,WIN,승리,胜利,勝利,勝利,Victoria,GEWINN,VITÓRIA,ПОБЕДИЛ,VITTORIA,WYGRANA,kazanan,Victoire
0029,LOSE,패배,败北,敗北,敗北,Derrota,VERLIEREN,DERROTA,ПРОИГРАЛ,PERDITA,PRZEGRANA,kaybeden,Défaite
0030,DRAW,무승부,平手,平手,無勝負,Empate,UNENTSCHIEDEN,EMPATE,НИЧЬЯ,DISEGNO,REMIS,berabere,Dessiner
0031,Other player has left.,상대방이 방에서 나갔습니다.,对手已离开,對手已離開,相手が退場しました。,El otro jugador ha abandonado la partida,Der andere Spieler ist gegangen.,Outro jogador saiu.,Игрок ушел.,L'altro giocatore ha abbandonato.,Drugi gracz wyszedł.,karşı oyuncu oyundan ayrıldı.,L'autre joueur est parti.
0032,SUCCESS,성공,成功,成功,成功,Éxito,ERFOLG,ÊXITO,УСПЕХ,SUCCESSO,SUKCES,başarmak,Succès
